date,scrap_type,title,original_title,genre,score,annee,public,time,langue,pays,description,acteur
2022-12-15 09:36:04.983734,film,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,Action,8.8,2002,Tous publics,179,"English,Sindarin,Old English",New Zealand,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."," Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett"
2022-12-15 09:36:09.197682,film,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,Action,8.8,2001,Tous publics,178,"English,Sindarin",New Zealand,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.," Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean"
2022-12-15 09:36:06.410329,film,Fight Club,Fight Club,Drama,8.8,1999,Tous publics avec avertissement,139,English,Germany,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.," Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier, Richmond Arquette"
2022-12-15 09:36:06.587802,film,Forrest Gump,Forrest Gump,Drama,8.8,1994,Tous publics,142,English,United States,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire ..., "," Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum"
2022-12-15 09:36:06.091393,film,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",Adventure,8.8,1966,Tous publics avec avertissement,178,,Italy,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.," Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli"
2022-12-15 09:36:02.540715,film,The Matrix,The Matrix,Action,8.7,1999,Tous publics avec avertissement,136,English,United States,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."," Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster"
2022-12-15 09:36:01.590870,film,Goodfellas,Goodfellas,Biography,8.7,1990,Tous publics avec avertissement,145,"English,Italian",United States,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate..., "," Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino"
2022-12-15 09:36:04.687212,film,Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,Action,8.7,1980,Tous publics,124,English,United States,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader ..., "," Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels"
2022-12-15 09:36:04.644918,film,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,Drama,8.7,1975,Tous publics avec avertissement,133,,United States,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."," Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown, Scatman Crothers"
2022-12-15 09:34:25.406977,film,Interstellar,Interstellar,Adventure,8.6,2014,Tous publics,169,English,United States,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.," Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Anne Hathaway, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck, Leah Cairns, Jessica Chastain, William Dickinson, Topher Grace, Matt Damon, Flora Nolan, Griffen Fraser, Jeff Hephner, Lena Georgas, Elyes Gabel"
2022-12-15 09:34:26.568061,film,City of God,Cidade de Deus,Crime,8.6,2002,Tous publics avec avertissement,130,Portuguese,Brazil,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."," Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Jefechander Suplino, Alice Braga, Emerson Gomes, Edson Oliveira, Michel Gomes, Roberta Rodrigues, Luis Otávio, Kiko Marques, Gustavo Engrácia, Darlan Cunha, Robson Rocha, Thiago Martins, Leandra Miranda, Graziella Moretto, Renato de Souza, Karina Falcão, Sabrina Rosa, Rubens Sabino, Marcos 'Kikito' Junqueira, Edson Montenegro"
2022-12-15 09:34:23.567479,film,Spirited Away,Sen to Chihiro no kamikakushi,Animation,8.6,2001,Tous publics,125,"Japanese,English",Japan,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."," Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô, Yasuko Sawaguchi, Tatsuya Gashûin, Ryûnosuke Kamiki, Yumi Tamai, Yô Ôizumi, Koba Hayashi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Shigeru Wakita, Shirô Saitô, Michiko Yamamoto, Keiko Tsukamoto, Akio Nakamura, Shinji Tokumaru, Kaori Yamagata, Yayoi Kazuki, Masahiro Asano, Kazutaka Hayashida, Ikuko Yamamoto, Mina Meguro, Tetsurô Ishibashi, Katsutomo Shîbara, Shinobu Katabuchi, Noriko Kitou, Naoto Kaji, Yoshitaka Sukegawa, Aki Tachikawa, Noriko Yamaya, Katsuhisa Matsuo, Masayuki Kizu, Yôko Ôno, Sachie Azuma, Ken Yasuda, Shigeyuki Totsugi, Mayumi Sako, Sonoko Soeda, Akiko Tomihira, Minako Masuda, Orika Ono, Rina Yamada, Miwa Takachi, Hiromi Takeuchi, Makiko Oku, Daveigh Chase, Suzanne Pleshette, Jason Marsden, Susan Egan, David Ogden Stiers, Lauren Holly, Michael Chiklis, John Ratzenberger, Tara Strong, Mickie McGowan, Sherry Lynn, Jack Angel, Mona Marshall, Bob Bergen, Candi Milo, Rodger Bumpass, Colleen O'Shaughnessey, Jennifer Darling, Phil Proctor, Paul Eiding, Jim Ward, Madalena Bobone, Mónica Chaby, Romeu Costa, Filipa Maló Franco, João Lagarto, João Melo, Rui Mendes, Fernanda Montemor, Dee Bradley Baker"
2022-12-15 09:34:25.510840,film,The Green Mile,The Green Mile,Crime,8.6,1999,Tous publics avec avertissement,189,"English,French",United States,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."," Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Patricia Clarkson, Harry Dean Stanton, Dabbs Greer, Eve Brent, William Sadler, Mack Miles, Rai Tasco, Edrie Warner, Paula Malcomson, Christopher Joel Ives, Evanne Drucker, Bailey Drucker, Brian Libby, Brent Briscoe, Bill McKinney, Gary Sinise"
2022-12-15 09:34:25.820021,film,Saving Private Ryan,Saving Private Ryan,Drama,8.6,1998,Tous publics avec avertissement,169,"English,French,German,Czech",United States,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."," Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Matt Damon, Ted Danson, Paul Giamatti, Dennis Farina, Joerg Stadler, Max Martini, Dylan Bruno, Daniel Cerqueira, Demetri Goritsas, Ian Porter, Gary Sefton, Julian Spencer, Steve Griffin, William Marsh, Marc Cass, Markus Napier, Neil Finnighan, Peter Miles, Paul Garcia"
2022-12-15 09:34:25.484848,film,Life Is Beautiful,La vita è bella,Comedy,8.6,1997,Tous publics,116,"Italian,German,English",Italy,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp..., "," Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric, Marisa Paredes, Horst Buchholz, Lidia Alfonsi, Giuliana Lojodice, Amerigo Fontani, Pietro De Silva, Francesco Guzzo, Raffaella Lebboroni, Claudio Alfonsi, Gil Baroni, Massimo Bianchi, Jürgen Bohn, Verena Buratti, Robert Camero, Ennio Consalvi, Giancarlo Cosentino, Aaron Craig, Alfiero Falomi, Daniela Fedke, Antonio Fommei, Stefano Frangipani, Ernst Frowein Holger"
2022-12-15 09:36:02.053573,film,Se7en,Se7en,Crime,8.6,1995,Tous publics avec avertissement,127,English,United States,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."," Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt, Gwyneth Paltrow"
2022-12-15 09:34:24.417392,film,Terminator 2: Judgment Day,Terminator 2: Judgment Day,Action,8.6,1991,Tous publics avec avertissement,137,"English,Spanish",United States,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old adolescent son John from an even more advanced and powerful cyborg."," Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen, Joe Morton, S. Epatha Merkerson, Castulo Guerra, Danny Cooksey, Jenette Goldstein, Xander Berkeley, Leslie Hamilton Gearren, Ken Gibbel, Robert Winley, Peter Schrum, Shane Wilder, Michael Edwards, Jared Lounsbery, Casey Chavez, Ennalls Berl, Don Lake, Richard Vidan, Tom McDonald, Jim Palmer, Guss Williams, Gwenda Deacon, Don Stanton, Dan Stanton, Colin Patrick Lynch, Noel Evangelisti, Nikki Cox, Lisa Brinegar, DeVaughn Nixon, Tony Simotes, Diane Rodriguez, Dalton Abbott, Ron Young, Charles Robert Brown, Abdul Salaam El Razzac, Mike Muscat, Dean Norris, Charles A. Tamburro, J. Rob Jordan, Terrence Evans, Denney Pierce, Mark Christopher Lawrence, Pat Kouri, Van Ling, Michael Albanese, Ed Arneson, Bret A. Arnold, Dean Blanke, Debra Casey, Jim Dahl, Martin Deluca, Jennifer Jacono, Gavin Kelly, Takao Komine, Joel Kramer, Anne Merrem"
2022-12-15 09:34:26.777975,film,The Silence of the Lambs,The Silence of the Lambs,Crime,8.6,1991,Tous publics avec avertissement,118,"English,Latin",United States,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."," Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz, Scott Glenn, Anthony Heald, Frankie Faison, Don Brockett, Frank Seals Jr., Stuart Rudin, Anthony Hopkins, Maria Skorobogatov, Jeffrie Lane, Leib Lensky, George 'Red' Schwartz, Jim Roche, Brooke Smith, Ted Levine, James B. Howard, Bill Miller, Chuck Aber, Gene Borkan, Pat McNamara, Tracey Walter, Kenneth Utt, Dan Butler, Paul Lazar"
2022-12-15 09:34:25.461913,film,Star Wars: Episode IV - A New Hope,Star Wars,Action,8.6,1977,Tous publics,121,English,United States,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ..., "," Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley, Denis Lawson, Garrick Hagon, Jack Klaff, William Hootkins, Angus MacInnes, Jeremy Sinden, Graham Ashley, Don Henderson, Richard LeParmentier, Leslie Schofield, David Ankrum, Mark Anthony Austin"
2022-12-15 09:35:58.994983,film,Harakiri,Seppuku,Action,8.6,1962,Tous publics,133,,Japan,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ..., "," Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba, Masao Mishima"
2022-12-15 09:36:01.990996,film,Seven Samurai,Shichinin no samurai,Action,8.6,1954,Tous publics,207,,Japan,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."," Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara"
2022-12-15 09:36:00.584470,film,It's a Wonderful Life,It's a Wonderful Life,Drama,8.6,1946,Tous publics,130,"English,French",United States,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.," James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers"
2022-12-15 09:34:25.352774,film,Parasite,Gisaengchung,Drama,8.5,2019,Tous publics avec avertissement,132,"Korean,English",South Korea,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.," Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik, Park So-dam, Lee Jeong-eun, Jang Hye-jin, Park Myeong-hoon, Jung Ji-so, Jung Hyun-jun, Park Keun-rok, Jung Yi-seo, Jo Jae-myeong, Jung Ik-han, Kim Kyu-baek, Hwang In-kyung, Ahn Seong-bong, Kim Jin-hyung, Yoon Young-woo, JaeWook Park, Kang Hyun-gyu, Seo Hee-young, Lee Dong-yong, Ahn Jin-sang, Jeong Ah-reum, Kim Jung-woo, Kim Geon"
2022-12-15 09:35:59.381254,film,Whiplash,Whiplash,Drama,8.5,2014,Tous publics avec avertissement,106,English,United States,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.," Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell"
2022-12-15 09:35:57.920372,film,The Intouchables,Intouchables,Biography,8.5,2011,Tous publics avec avertissement,112,"French,English",France,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."," François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux"
2022-12-15 09:35:59.915339,film,The Prestige,The Prestige,Drama,8.5,2006,Tous publics,130,,United Kingdom,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."," Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo, Rebecca Hall"
2022-12-15 09:36:00.282642,film,The Departed,The Departed,Crime,8.5,2006,Tous publics avec avertissement,151,,United States,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.," Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen"
2022-12-15 09:34:24.062254,film,The Pianist,The Pianist,Biography,8.5,2002,Tous publics avec avertissement,150,"English,German,Russian",France,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.," Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard, Maureen Lipman, Frank Finlay, Jessica Kate Meyer, Julia Rayner, Wanja Mues, Richard Ridings, Nomi Sharron, Anthony Milner, Lucy Skeaping, Roddy Skeaping, Ben Harlan, Thomas Lawinky, Joachim Paul Assböck, Roy Smiles, Paul Bradley, Daniel Caltagirone, Andrzej Blumenfeld, Darian Wawer, Zbigniew Zamachowski, Lejb Fogelman, Detlev von Wangenheim, Popeck, Zofia Czerwinska, Emilio Fernandez, Udo Kroschwald, Uwe Rathsam, Joanna Brodzik, Katarzyna Bargielowska, Maja Ostaszewska, John Bennett, Cyril Shaps, Wojciech Smolarz, Lech Mackiewicz, Ruth Platt, Frank-Michael Köbe, Torsten Flach, Peter Rappenglück, Ronan Vibert, Christoph Pieczynski, Katarzyna Figura, Valentine Pelka, Andrew Tiernan, Tom Strauss, Thomas Kretschmann, Cezary Kosinski, Grzegorz Artman, Adam Bauman, Pawel Burczyk, Zbigniew Dziduch, Marian Dziedziel, Nina Franoszek, Jerzy Góralczyk, John Keogh, Jaroslaw Kopaczewski, Patrick Lanagan, Dmitri Leshchenko"
2022-12-15 09:36:01.066787,film,Gladiator,Gladiator,Action,8.5,2000,Tous publics avec avertissement,155,English,United States,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.," Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris"
2022-12-15 09:36:00.739864,film,American History X,American History X,Crime,8.5,1998,Tous publics avec avertissement,119,English,United States,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.," Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee"
2022-12-15 09:36:00.817854,film,The Usual Suspects,The Usual Suspects,Crime,8.5,1995,Tous publics avec avertissement,106,"English,Hungarian,Spanish,French",United States,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."," Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak, Kevin Spacey"
2022-12-15 09:34:23.119002,film,Léon: The Professional,Léon,Action,8.5,1994,Tous publics avec avertissement,110,,France,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin..., "," Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel, Willi One Blood, Don Creech, Keith A. Glascoe, Randolph Scott, Michael Badalucco, Ellen Greene, Elizabeth Regen, Carl J. Matusovich, Frank Senger, Lucius Wyatt Cherokee, Eric Challier, Luc Bernard, Maïwenn, Jessie Keosian, George Martin, Abdul Hassan Sharif, Stuart Rudin, Kent Broadhurst, Tommy Hollis, Peter Linari, Johnny Limo, Danny Peled, Seth Jerome Walker, Michael Mundra, Alex Dezen, Betty Miller, Geoffrey Bateman, Arsène Jiroyan, Peter Vizard, Joseph Malerba, David W. Butler, Robert LaSardo, Steve Gonnelo, William James Stiggers Jr., Anthony Ragland, Crystal Michelle Blake, Sonny Zito, Rocky Hernandez, Randy Pearlstein, Trevor Walace, Keith S. Bullock, Jeff McBride, Fred Fischer, Peter Justinius, Denis Bellocq, Thomas Delehanty, Ed Ventresca, Wallace Wong, Cary Wong, Amimul Rolly, Mohammed Rashid, Adam Busch, Mario Todisco, James Melissinos, Jernard Burks, Matt De Matt, Samy Naceri, Christophe Gautier, Junior Almeida, David Gregg, Michel Montanary, Hervé Husson, Didier Legros, Marc Andréoni, Gilles Kleber, Junior John Levis, Tony Sauraye, Thierry Maurio, James Fahrner, Daniel Schenmetzler, Hélène Cardona, Alyssia Dujmovich, Dan Thorens, Michael Wehrhahn"
2022-12-15 09:34:24.484903,film,The Lion King,The Lion King,Animation,8.5,1994,Tous publics,88,"English,Swahili,Xhosa,Zulu",United States,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."," Rowan Atkinson, Matthew Broderick, Niketa Calame-Harris, Jim Cummings, Whoopi Goldberg, Robert Guillaume, Jeremy Irons, James Earl Jones, Moira Kelly, Nathan Lane, Zoe Leader, Cheech Marin, Ernie Sabella, Madge Sinclair, Jonathan Taylor Thomas, Frank Welker, Cathy Cavadini, Judi M. Durand, Daamen J. Krall, David McCharen, Mary Linda Phillips, Phil Proctor, David Randolph, Jeff Bennett, Pat Fry, Paul Rausmussen, Brian Tochi"
2022-12-15 09:35:55.880584,film,Cinema Paradiso,Nuovo Cinema Paradiso,Drama,8.5,1988,Tous publics,155,Italian,Italy,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.," Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta, Marco Leonardi"
2022-12-15 09:35:57.988372,film,Grave of the Fireflies,Hotaru no haka,Animation,8.5,1988,Tous publics,89,,Japan,A young boy and his little sister struggle to survive in Japan during World War II.," Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi, Kôzô Hashida"
2022-12-15 09:34:23.590053,film,Back to the Future,Back to the Future,Adventure,8.5,1985,Tous publics,116,English,United States,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."," Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Tom Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, Frances Lee McCain, James Tolkan, J.J. Cohen, Casey Siemaszko, Billy Zane, Harry Waters Jr., Donald Fullilove, Lisa Freeman, Cristen Kauffman, Elsa Raven, Will Hare, Ivy Bethune, Jason Marin, Katherine Britton, Jason Hervey, Maia Brewton, Courtney Gains, Richard L. Duran, Jeff O'Haco, Johnny Green, Jamie Abbott, Norman Alden, Read Morgan, Sachi Parker, Robert Krantz, Gary Riley, Karen Petrasek, George 'Buck' Flower, Tommy Thomas, Granville 'Danny' Young, David Harold Brown, Lloyd L. Tolbert, Paul Hanson, Lee Brownfield, Robert DeLapp, Bill Baker, Charles L. Campbell, Kiki Ebsen, Randy Feelgood, Hal Gausman, Deborah Harmon, D'Janine King-Lasky, Huey Lewis, Richard Patrick, Tony Pope, Bill Prudich, Eric Stoltz, Ethel Sway, Tom Tangen, Arthur Tovey, Tom Willett"
2022-12-15 09:35:54.283706,film,Alien,Alien,Horror,8.5,1979,Tous publics avec avertissement,117,English,United Kingdom,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.," Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt"
2022-12-15 09:35:55.098601,film,Apocalypse Now,Apocalypse Now,Drama,8.5,1979,Tous publics avec avertissement,147,"English,French,Vietnamese",United States,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.," Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest, Sam Bottoms"
2022-12-15 09:35:56.024249,film,Once Upon a Time in the West,C'era una volta il West,Western,8.5,1968,Tous publics,165,,Italy,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.," Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson, Gabriele Ferzetti"
2022-12-15 09:34:28.272226,film,Psycho,Psycho,Horror,8.5,1960,Tous publics avec avertissement,109,,United States,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."," Anthony Perkins, Vera Miles, John Gavin, Janet Leigh, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills, Fletcher Allen, Walter Bacon, Prudence Beers, Kit Carson, Francis De Sales, George Dockstader, George Eldredge, Harper Flaherty, Sam Flint, Virginia Gregg, Alfred Hitchcock, Paul Jasmin, Lee Kass, Frank Killmond"
2022-12-15 09:35:55.837452,film,Rear Window,Rear Window,Mystery,8.5,1954,Tous publics,112,,United States,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism o..., "," James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr"
2022-12-15 09:35:58.486150,film,Casablanca,Casablanca,Drama,8.5,1942,Tous publics,102,"English,French,German,Italian",United States,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.," Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt"
